DataFrame,Model,RMSE,R2
DD_target90,GBRT_d5_lr005,0.1443,-1.290541
DD_target90,MLP_64_relu_lr0005,0.309449,-16.900391
DD_target90,MLP_64_relu_lr001,0.325762,-19.19175
DD_target90,MLP_64_relu_lr005,0.3305,-19.764511
DD_target90,MLP_64_relu_lr01,0.361889,-26.344638
HAL_target30,Srbf_C1_e01_gscale,0.113063,-1.39878
HAL_target30,Srbf_C1_e01_g001,0.085322,-0.098461
HAL_target30,Srbf_C1_e01_g01,0.09477,-0.435096
HAL_target30,Srbf_C1_e05_gscale,0.09826,-0.585405
HAL_target30,Srbf_C1_e05_g001,0.085322,-0.101098
HAL_target30,Srbf_C1_e05_g01,0.091631,-0.283951
HAL_target30,Srbf_C10_e01_gscale,0.133552,-2.222791
HAL_target30,Srbf_C10_e01_g001,0.089014,-0.217636
HAL_target30,Srbf_C10_e01_g01,0.133002,-2.139406
HAL_target30,Srbf_C10_e05_gscale,0.106266,-0.852625
HAL_target30,Srbf_C10_e05_g001,0.087239,-0.177133
HAL_target30,Srbf_C10_e05_g01,0.110446,-0.904293
HAL_target30,Srbf_C100_e01_gscale,0.153907,-3.18958
HAL_target30,Srbf_C100_e01_g001,0.109686,-0.751341
HAL_target30,Srbf_C100_e01_g01,0.231476,-8.025825
HAL_target30,Srbf_C100_e05_gscale,0.109632,-0.977844
HAL_target30,Srbf_C100_e05_g001,0.100126,-0.480329
HAL_target30,Srbf_C100_e05_g01,0.138965,-1.864808
HAL_target30,Slin_C01,0.084838,-0.124828
HAL_target30,Slin_C1,0.08485,-0.125976
HAL_target30,Slin_C10,0.084875,-0.125826
HAL_target30,Spoly2_C1_gscale,0.172844,-3.922053
HAL_target30,Spoly2_C1_g001,0.084637,-0.083335
HAL_target30,Spoly2_C10_gscale,0.202372,-6.164112
HAL_target30,Spoly2_C10_g001,0.087122,-0.160983
HAL_target30,Spoly3_C1_gscale,0.742555,-101.248404
HAL_target30,Spoly3_C1_g001,0.08611,-0.113153
HAL_target30,GBRT_d3_lr001,0.087591,-0.238982
HAL_target30,GBRT_d3_lr005,0.094471,-0.551393
HAL_target30,GBRT_d4_lr001,0.088015,-0.260347
HAL_target30,GBRT_d4_lr005,0.093709,-0.488579
HAL_target30,GBRT_d5_lr001,0.089524,-0.331054
HAL_target30,GBRT_d5_lr005,0.095024,-0.541831
HAL_target30,MLP_64_relu_lr0005,0.120144,-1.424851
HAL_target30,MLP_64_relu_lr001,0.117717,-1.345828
HAL_target30,MLP_64_relu_lr005,0.114822,-1.188475
HAL_target30,MLP_64_relu_lr01,0.111686,-1.143885
HAL_target60,Srbf_C1_e01_gscale,0.156253,-1.087418
HAL_target60,Srbf_C1_e01_g001,0.120795,-0.054546
HAL_target60,Srbf_C1_e01_g01,0.138111,-0.411224
HAL_target60,Srbf_C1_e05_gscale,0.150723,-0.849553
HAL_target60,Srbf_C1_e05_g001,0.120724,-0.054357
HAL_target60,Srbf_C1_e05_g01,0.13531,-0.365617
HAL_target60,Srbf_C10_e01_gscale,0.186331,-1.997892
HAL_target60,Srbf_C10_e01_g001,0.129397,-0.213673
HAL_target60,Srbf_C10_e01_g01,0.1869,-1.620423
HAL_target60,Srbf_C10_e05_gscale,0.170118,-1.33929
HAL_target60,Srbf_C10_e05_g001,0.126406,-0.157502
HAL_target60,Srbf_C10_e05_g01,0.179985,-1.540827
HAL_target60,Srbf_C100_e01_gscale,0.211787,-2.800443
HAL_target60,Srbf_C100_e01_g001,0.15846,-0.740891
HAL_target60,Srbf_C100_e01_g01,0.272674,-4.955473
HAL_target60,Srbf_C100_e05_gscale,0.184262,-1.794632
HAL_target60,Srbf_C100_e05_g001,0.146435,-0.543779
HAL_target60,Srbf_C100_e05_g01,0.240921,-3.071335
HAL_target60,Slin_C01,0.126654,-0.237252
HAL_target60,Slin_C1,0.127179,-0.254865
HAL_target60,Slin_C10,0.127299,-0.257453
