Model,GBRT_d3_lr001,GBRT_d3_lr001,GBRT_d3_lr005,GBRT_d3_lr005,GBRT_d4_lr001,GBRT_d4_lr001,GBRT_d4_lr005,GBRT_d4_lr005,GBRT_d5_lr001,GBRT_d5_lr001,GBRT_d5_lr005,GBRT_d5_lr005,MLP_64_relu_lr0005,MLP_64_relu_lr0005,MLP_64_relu_lr001,MLP_64_relu_lr001,MLP_64_relu_lr005,MLP_64_relu_lr005,MLP_64_relu_lr01,MLP_64_relu_lr01,Slin_C01,Slin_C01,Slin_C1,Slin_C1,Slin_C10,Slin_C10,Spoly2_C10_g001,Spoly2_C10_g001,Spoly2_C10_gscale,Spoly2_C10_gscale,Spoly2_C1_g001,Spoly2_C1_g001,Spoly2_C1_gscale,Spoly2_C1_gscale,Spoly3_C1_g001,Spoly3_C1_g001,Spoly3_C1_gscale,Spoly3_C1_gscale,Srbf_C100_e01_g001,Srbf_C100_e01_g001,Srbf_C100_e01_g01,Srbf_C100_e01_g01,Srbf_C100_e01_gscale,Srbf_C100_e01_gscale,Srbf_C100_e05_g001,Srbf_C100_e05_g001,Srbf_C100_e05_g01,Srbf_C100_e05_g01,Srbf_C100_e05_gscale,Srbf_C100_e05_gscale,Srbf_C10_e01_g001,Srbf_C10_e01_g001,Srbf_C10_e01_g01,Srbf_C10_e01_g01,Srbf_C10_e01_gscale,Srbf_C10_e01_gscale,Srbf_C10_e05_g001,Srbf_C10_e05_g001,Srbf_C10_e05_g01,Srbf_C10_e05_g01,Srbf_C10_e05_gscale,Srbf_C10_e05_gscale,Srbf_C1_e01_g001,Srbf_C1_e01_g001,Srbf_C1_e01_g01,Srbf_C1_e01_g01,Srbf_C1_e01_gscale,Srbf_C1_e01_gscale,Srbf_C1_e05_g001,Srbf_C1_e05_g001,Srbf_C1_e05_g01,Srbf_C1_e05_g01,Srbf_C1_e05_gscale,Srbf_C1_e05_gscale
,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE,R2,RMSE
DataFrame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD_target30,-0.391659,0.063011,-1.198243,0.074778,-0.467485,0.064255,-1.13657,0.074037,-0.536449,0.065506,-1.035241,0.073137,-5.415623,0.124075,-5.212697,0.122304,-4.737359,0.116958,-3.668719,0.103369,-1.337126,0.073629,-1.345669,0.073683,-1.342857,0.073626,-1.813128,0.081963,-96.461479,0.338138,-1.388919,0.074505,-22.635524,0.195774,-1.520248,0.077497,-145.022914,0.600997,-3.517682,0.097501,-43.304069,0.250004,-11.011118,0.140814,-1.816863,0.083865,-11.772657,0.144225,-1.571414,0.080463,-1.857929,0.081342,-14.922745,0.153199,-9.550206,0.126864,-1.15881,0.073483,-6.331545,0.114011,-1.447984,0.077726,-1.364474,0.074251,-2.139607,0.083893,-4.339007,0.099063,-0.720474,0.067615,-1.185746,0.075013,-1.266125,0.074089
DD_target60,-0.618978,0.093927,-1.250018,0.106005,-0.730113,0.096196,-1.233024,0.105275,-0.765637,0.096752,-1.149481,0.104301,-6.041983,0.166267,-8.146725,0.181617,-3.940416,0.147936,-7.443492,0.173568,-3.450181,0.125935,-3.491722,0.126253,-3.482718,0.126236,-3.60298,0.132364,-33.521653,0.31152,-2.396209,0.116266,-22.673402,0.260725,-2.718117,0.120455,-80.870985,0.57659,-5.011169,0.156847,-19.873224,0.263114,-20.919153,0.217274,-6.2934,0.163939,-9.89819,0.215009,-2.517923,0.125188,-4.094489,0.137413,-9.109516,0.182856,-12.718664,0.174406,-4.811125,0.14214,-5.85142,0.164725,-2.318829,0.119976,-2.358167,0.116216,-3.316851,0.131503,-4.519576,0.131376,-2.621414,0.119661,-3.206115,0.132811,-1.846995,0.112313
DD_target90,-0.866729,0.132804,-1.606116,0.151581,-0.892147,0.132735,-1.474821,0.147387,-0.962443,0.133955,-1.290541,0.1443,-16.900391,0.309449,-19.19175,0.325762,-19.764511,0.3305,-26.344638,0.361889,-3.58398,0.176548,-3.553469,0.176256,-3.528754,0.175924,-3.904092,0.185286,-32.968755,0.401381,-2.84324,0.168539,-34.199908,0.406276,-3.229802,0.176395,-114.151426,0.843772,-9.116432,0.253621,-36.599849,0.42608,-23.56973,0.288216,-10.149841,0.268695,-19.945124,0.348666,-4.800681,0.198258,-4.906421,0.199264,-16.865183,0.308241,-16.215723,0.256918,-6.315079,0.2126,-11.063017,0.270583,-4.499877,0.191275,-3.086905,0.172101,-5.061374,0.208069,-7.479559,0.206217,-3.687519,0.18054,-4.889357,0.207731,-3.070848,0.171285
HAL_target30,-0.238982,0.087591,-0.551393,0.094471,-0.260347,0.088015,-0.488579,0.093709,-0.331054,0.089524,-0.541831,0.095024,-1.424851,0.120144,-1.345828,0.117717,-1.188475,0.114822,-1.143885,0.111686,-0.124828,0.084838,-0.125976,0.08485,-0.125826,0.084875,-0.160983,0.087122,-6.164112,0.202372,-0.083335,0.084637,-3.922053,0.172844,-0.113153,0.08611,-101.248404,0.742555,-0.751341,0.109686,-8.025825,0.231476,-3.18958,0.153907,-0.480329,0.100126,-1.864808,0.138965,-0.977844,0.109632,-0.217636,0.089014,-2.139406,0.133002,-2.222791,0.133552,-0.177133,0.087239,-0.904293,0.110446,-0.852625,0.106266,-0.098461,0.085322,-0.435096,0.09477,-1.39878,0.113063,-0.101098,0.085322,-0.283951,0.091631,-0.585405,0.09826
HAL_target60,-0.188015,0.124867,-0.435663,0.133895,-0.231411,0.126207,-0.443167,0.134061,-0.276098,0.127485,-0.427079,0.13241,-1.18298,0.164521,-1.159632,0.164616,-1.117574,0.163245,-1.390322,0.18013,-0.237252,0.126654,-0.254865,0.127179,-0.257453,0.127299,-0.201592,0.128613,-7.288219,0.343442,-0.038337,0.119156,-4.424814,0.282692,-0.062549,0.12096,-87.618573,1.021005,-0.740891,0.15846,-4.955473,0.272674,-2.800443,0.211787,-0.543779,0.146435,-3.071335,0.240921,-1.794632,0.184262,-0.213673,0.129397,-1.620423,0.1869,-1.997892,0.186331,-0.157502,0.126406,-1.540827,0.179985,-1.33929,0.170118,-0.054546,0.120795,-0.411224,0.138111,-1.087418,0.156253,-0.054357,0.120724,-0.365617,0.13531,-0.849553,0.150723
HAL_target90,-0.192668,0.18482,-0.366566,0.195553,-0.238568,0.187428,-0.36382,0.194999,-0.304508,0.191274,-0.431772,0.19863,-1.327575,0.243482,-1.222186,0.239811,-1.339809,0.246097,-1.401584,0.261374,-0.150597,0.186639,-0.15193,0.186757,-0.152394,0.186846,-0.086749,0.180972,-2.485327,0.343171,-0.084733,0.182722,-1.552385,0.292898,-0.078143,0.181818,-40.373328,1.094945,-0.369156,0.204934,-3.308791,0.365301,-2.128625,0.285004,-0.290768,0.194926,-2.780926,0.344938,-1.775753,0.268849,-0.078978,0.179753,-1.04251,0.247362,-1.618907,0.26176,-0.063216,0.177056,-0.905991,0.24002,-1.382653,0.252482,-0.074374,0.181913,-0.260034,0.19173,-0.807502,0.22332,-0.056566,0.18059,-0.230324,0.189034,-0.701948,0.217416
NOC_target30,-0.261975,0.045658,-0.661817,0.052158,-0.325526,0.046817,-0.795895,0.054211,-0.379127,0.047692,-0.722299,0.05308,-177.483481,0.286437,-187.715387,0.289619,-203.88761,0.29549,-206.595392,0.298565,-0.331098,0.045356,-0.373451,0.045861,-0.339688,0.04547,-3.283319,0.06743,-1044.7165,0.589034,-0.510804,0.047597,-328.973083,0.36439,-1.157209,0.053829,-1735.824958,0.872767,-31.840554,0.146342,-30.276735,0.185397,-4.728695,0.090394,-13.396338,0.109342,-10.090198,0.119253,-1.09435,0.057246,-3.739765,0.070039,-9.554583,0.110015,-3.761966,0.08158,-1.497434,0.056844,-7.426898,0.09987,-1.09435,0.057246,-0.511424,0.047802,-4.256937,0.077984,-2.477363,0.069058,-0.154379,0.043458,-1.472241,0.061018,-1.020079,0.05624
NOC_target60,-0.519159,0.067979,-1.205347,0.080718,-0.669926,0.070746,-1.158546,0.08027,-0.769427,0.072462,-1.103607,0.078911,-7.72853,0.141649,-7.993115,0.143902,-6.60047,0.134312,-4.339539,0.116317,-4.107897,0.090124,-4.160065,0.090389,-4.074539,0.089893,-11.226879,0.126886,-53.733907,0.301152,-2.636898,0.083632,-163.527247,0.411973,-4.964471,0.098449,-170.100486,0.566676,-49.45607,0.241046,-15.864806,0.203175,-2.406531,0.100949,-43.808722,0.214747,-9.510467,0.159109,-1.295447,0.083582,-12.215561,0.129311,-8.472987,0.142304,-2.186577,0.097369,-8.478504,0.112682,-6.809893,0.131941,-1.296644,0.083604,-2.10174,0.08061,-6.38238,0.122396,-1.470552,0.085653,-2.145194,0.079464,-3.177419,0.099609,-1.054854,0.079242
NOC_target90,-0.566346,0.093113,-0.933071,0.103037,-0.682178,0.09586,-0.892916,0.101841,-0.787279,0.098003,-0.878316,0.101253,-64.987382,0.343828,-58.2078,0.330452,-63.858219,0.344949,-56.913154,0.338472,-10.407138,0.152437,-10.613087,0.153252,-10.570373,0.153094,-15.867882,0.184251,-99.655552,0.49493,-7.647262,0.141154,-138.120393,0.53563,-9.631589,0.152616,-947.206615,1.578506,-68.337194,0.361654,-17.177398,0.268542,-4.131864,0.162267,-65.993822,0.329117,-17.310377,0.262196,-1.446962,0.116593,-15.00123,0.184297,-10.928669,0.209671,-2.312305,0.132038,-8.933006,0.15282,-12.631242,0.214709,-1.42194,0.115839,-5.939919,0.134322,-5.582662,0.158394,-1.00046,0.104363,-4.319446,0.12266,-4.065882,0.140587,-1.028295,0.104925
PRU_target30,-0.387626,0.060907,-1.376227,0.077407,-0.508651,0.063199,-1.412,0.077741,-0.604846,0.064842,-1.420997,0.07754,-15.919083,0.162486,-15.004842,0.158909,-8.661076,0.1341,-6.649453,0.126362,-0.264423,0.058152,-0.285608,0.058481,-0.286448,0.05849,-0.69001,0.065737,-25.598256,0.219522,-0.234778,0.05778,-5.805379,0.133035,-0.307323,0.059528,-597.967827,0.808018,-1.871985,0.086839,-14.85445,0.168253,-7.679359,0.129943,-1.113582,0.076792,-7.023364,0.133083,-1.843354,0.081589,-0.638997,0.065903,-3.384242,0.098385,-6.7435,0.120656,-0.33637,0.060297,-2.049549,0.086759,-1.652599,0.079623,-0.22763,0.057541,-0.880237,0.068545,-2.563685,0.088396,-0.172415,0.056643,-0.486002,0.062981,-0.911845,0.0695
PRU_target60,-0.607003,0.088296,-1.509664,0.104494,-0.754294,0.091508,-1.491962,0.104617,-0.793107,0.09247,-1.396824,0.103549,-8.483014,0.181826,-8.753562,0.181769,-10.371295,0.188009,-9.456878,0.19027,-0.169218,0.07961,-0.174113,0.07974,-0.175051,0.079782,-0.347341,0.084259,-12.426031,0.250973,-0.147011,0.078907,-5.774912,0.182882,-0.212706,0.080764,-40.950545,0.456896,-1.407316,0.109684,-33.141827,0.328752,-15.350138,0.246,-1.308349,0.106589,-19.083422,0.25534,-4.62503,0.152987,-0.430588,0.085635,-4.305826,0.149462,-10.59765,0.206518,-0.389696,0.083818,-3.022645,0.134713,-3.620795,0.142007,-0.138403,0.077714,-0.937961,0.095604,-3.086656,0.130429,-0.140944,0.077542,-0.918845,0.094175,-1.754292,0.113333
PRU_target90,-0.487509,0.116085,-1.379998,0.140899,-0.632947,0.12053,-1.306631,0.139678,-0.680539,0.121715,-1.237201,0.135879,-13.100865,0.281832,-14.4876,0.290967,-12.655933,0.283182,-9.498508,0.248292,-0.224552,0.106014,-0.277217,0.10783,-0.28576,0.108112,-0.519362,0.115384,-27.190209,0.404778,-0.131772,0.102335,-15.311478,0.32051,-0.212962,0.105488,-72.637337,0.796881,-3.915299,0.187027,-30.742313,0.437393,-17.451373,0.353492,-3.177935,0.169204,-25.199643,0.385742,-7.787761,0.253554,-0.834976,0.124464,-10.060739,0.271925,-10.893931,0.280887,-0.651781,0.119408,-7.867097,0.240389,-6.383929,0.232017,-0.181495,0.104158,-2.429057,0.157399,-4.270208,0.198354,-0.171533,0.103693,-2.35629,0.153279,-2.698583,0.171861
TRV_target30,-0.159508,0.040777,-0.378502,0.043781,-0.212313,0.041528,-0.410428,0.044228,-0.230198,0.041821,-0.409406,0.044333,-4.118395,0.085921,-3.742399,0.082993,-2.748735,0.07245,-1.862131,0.062838,-0.062328,0.039135,-0.065092,0.039178,-0.064286,0.039159,-0.205216,0.042571,-2.528328,0.07251,-0.069285,0.039734,-1.661725,0.063616,-0.222812,0.043185,-205.894257,0.411677,-0.730618,0.051472,-2.678836,0.074803,-2.372407,0.066565,-0.643142,0.050156,-0.942739,0.053781,-0.423011,0.045027,-0.343166,0.045321,-0.892381,0.052744,-1.495873,0.058288,-0.250564,0.043146,-0.655498,0.049047,-0.423011,0.045027,-0.088587,0.040191,-0.314553,0.043316,-0.783984,0.049607,-0.08,0.039707,-0.318295,0.043649,-0.371496,0.04428
TRV_target60,-0.12367,0.055797,-0.38576,0.061074,-0.168765,0.056842,-0.407876,0.061694,-0.206845,0.057659,-0.412568,0.061741,-2.603337,0.100773,-2.215461,0.094393,-2.026401,0.091457,-1.752101,0.086008,-0.189962,0.057256,-0.198256,0.057427,-0.198804,0.057439,-0.362038,0.062469,-5.024012,0.130562,-0.1302,0.056116,-4.053318,0.118867,-0.265925,0.060432,-56.74478,0.337684,-1.356875,0.083352,-2.367545,0.096697,-1.890395,0.084731,-0.842344,0.074047,-1.612327,0.082135,-1.178174,0.074362,-0.47204,0.065189,-1.09891,0.075128,-1.358032,0.077719,-0.331099,0.062011,-0.908125,0.070338,-0.934564,0.070806,-0.148342,0.056681,-0.476805,0.062893,-0.898807,0.069786,-0.136353,0.056318,-0.359403,0.060353,-0.611025,0.065317
TRV_target90,-0.146297,0.075196,-0.360354,0.08094,-0.210063,0.076904,-0.380912,0.081767,-0.267165,0.078505,-0.409309,0.082345,-1.600291,0.111525,-1.487603,0.10975,-1.358311,0.105593,-1.435516,0.110426,-0.266665,0.07814,-0.271809,0.078259,-0.273593,0.078281,-0.326731,0.082794,-2.942575,0.142268,-0.11362,0.07467,-2.054842,0.125425,-0.19961,0.078458,-84.85103,0.523045,-0.8819,0.099832,-1.791492,0.116178,-2.584677,0.123967,-0.77507,0.096946,-1.616683,0.112448,-1.445821,0.104582,-0.326249,0.082599,-1.110127,0.100278,-1.639534,0.108676,-0.204219,0.078384,-0.801515,0.09345,-1.199134,0.100169,-0.122601,0.075174,-0.419584,0.08299,-0.822436,0.092267,-0.037933,0.071978,-0.27014,0.078883,-0.704917,0.090039
KO_target30,-0.011183,0.031064,-0.167382,0.033038,-0.029049,0.031276,-0.191179,0.033323,-0.051159,0.031577,-0.199522,0.033471,-7.590157,0.086415,-7.107853,0.084554,-5.381073,0.073842,-3.979792,0.065372,-0.057706,0.031714,-0.058164,0.031722,-0.059112,0.031732,-0.306456,0.035941,-2.787856,0.061901,-0.111414,0.032901,-2.280014,0.057552,-0.244173,0.03522,-35.433182,0.162471,-1.47114,0.050056,-2.840573,0.059767,-1.278317,0.044451,-0.441033,0.036733,-0.636929,0.038802,-0.159431,0.033008,-0.569352,0.039797,-1.436862,0.047631,-1.128225,0.043185,-0.156216,0.03314,-0.44904,0.036557,-0.159431,0.033008,-0.080529,0.032244,-0.633985,0.039028,-0.747697,0.039557,-0.098232,0.032407,-0.25924,0.034393,-0.141981,0.032783
